"report_label","report_object","report_source","report_asset","plan_generator","campaigns","datasets","seeds","launcher","coverage","notes"
"fig:scraw_common8_family_top3_plus_scraw","figure","corps_rapport.tex","Images/PresentationOrale/common8_top3_family_sorted_barplots.png","scripts/reproduction/build_stable_generalist_plan.py","stable_generalist","bbag094_zeisel; bbag094_spleen; baron_human_pancreas; gse112013_human_testis_raw_counts; kang_pbmc_gse96583_singlets_raw_counts; macaque_retina_gse118480_bipolar_raw_counts; paul15_bone_marrow_raw_counts; Tabula_Muris_liver_filtered_raw_counts","planner default: 42; reference table: n_seeds=1","results/stable_generalist_repro/run_ready_jobs.sh","rerunnable","Regenerate method outputs first; rebuild the panel from the resulting summary table with Results Explorer or the report plotting notebook."
"fig:rank_matrix_common8","figure","corps_rapport.tex","Images/scraw_common8_family_panel/common8_rank_matrix_heatmap.pdf","scripts/reproduction/build_stable_generalist_plan.py","stable_generalist","common-8 dataset keys from reproducibility/stable_generalist/stable_generalist_dataset_table.csv","planner default: 42; reference table: n_seeds=1","results/stable_generalist_repro/run_ready_jobs.sh","rerunnable","Rank matrix is a post-processing view of stable_generalist metrics."
"tab:scraw_holdout_pancreas_results","table","corps_rapport.tex","inline table","scripts/reproduction/build_stable_generalist_plan.py","stable_generalist","Human_Pancreas_1_raw_counts; Mouse_Pancreas_1_raw_counts","planner default: 42; reference table: n_seeds=1","results/stable_generalist_repro/run_ready_jobs.sh","rerunnable","Use --datasets Human_Pancreas_1_raw_counts,Mouse_Pancreas_1_raw_counts to regenerate only the external-validation rows."
"fig:loss_transfer_baseline_vs_best","figure","corps_rapport.tex","scraw_loss_transfer_synthesis/loss_transfer_baseline_vs_best_weighted.pdf","scripts/reproduction/build_report_plan.py","loss_transfer","baron_human_pancreas; bbag094_zeisel; bbag094_spleen; kang_pbmc_gse96583_singlets_raw_counts; paul15_bone_marrow_raw_counts","42; 43; 44; 45; 46","results/report_repro/run_ready_report_jobs.sh","rerunnable","Fixed report plan covers baseline and weighted scRAW-loss variants for scMAE, scDeepCluster, and DESC."
"fig:loss_transfer_all_configurations_boxplots","figure","annexes.tex","scraw_loss_transfer_synthesis/loss_transfer_all_configurations_boxplot_4metrics.pdf","scripts/reproduction/manual_protocols.py","loss_transfer","same five loss-transfer datasets","42; 43; 44; 45; 46","results/manual_loss_transfer/run_jobs.sh","customizable","Use manual_protocols.py to include density_only, kmeans, and triplet variants beyond the fixed report plan."
"tab:loss_transfer_baseline_vs_best","table","annexes.tex","Images/scraw_loss_transfer_synthesis/loss_transfer_baseline_vs_best_table.tex","scripts/reproduction/build_report_plan.py","loss_transfer","same five loss-transfer datasets","42; 43; 44; 45; 46","results/report_repro/run_ready_report_jobs.sh","postprocess_required","Table is reconstructed from the loss_transfer result CSV files."
"tab:inductive_split_design","table","annexes.tex","inline table","scripts/reproduction/build_report_plan.py","inductive","baron_human_pancreas; bbag094_spleen; gse112013_human_testis_raw_counts; kang_pbmc_gse96583_singlets_raw_counts; macaque_retina_gse118480_bipolar_raw_counts; pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2","42","results/report_repro/run_ready_report_jobs.sh","documented","Split definitions are encoded directly in build_report_plan.py."
"fig:inductive_metrics_boxplots_default","figure","corps_rapport.tex","comparaison_inductive_scraw_stable_generalist_synthese/inductive_metrics_boxplots_ari_acc_rare_balancedrare_ultrarare.pdf","scripts/reproduction/build_report_plan.py","inductive","same six inductive datasets from tab:inductive_split_design","42","results/report_repro/run_ready_report_jobs.sh","rerunnable","Representative train/test-group protocol for scRAW, scNAME, scMAE, scDeepCluster, scAIDE, and PCA+Harmony."
"fig:inductive_metrics_dataset_boxplots","figure","annexes.tex","comparaison_inductive_scraw_stable_generalist_synthese/inductive_metrics_boxplots_ari_acc_rare_ultrarare.pdf","scripts/reproduction/build_report_plan.py","inductive","same six inductive datasets from tab:inductive_split_design","42","results/report_repro/run_ready_report_jobs.sh","rerunnable","Annex version of the inductive summary figure."
"fig:baron_scraw_bio_interpretation","figure","corps_rapport.tex","Images/analyse_biologique_scraw_baron_stable_generalist/tsne_qualitative_panel.png + marker_overlap_heatmap.png","scripts/reproduction/build_report_plan.py","deg","baron_human_pancreas","42","results/report_repro/run_ready_report_jobs.sh","partially_rerunnable","The DEG marker-overlap matrix is generated by run_marker_overlap.py; the final compact t-SNE panel is report post-processing."
